title,url,article_section,summary,date,code,tags,text
                     حرکت زیبایی که پرسپولیسی‌ها امروز انجام خواهند داد                 ,https://roozno.com/fa/news/412242/حرکت-زیبایی-که-پرسپولیسی‌ها-امروز-انجام-خواهند-داد,[], ,2020-02-06 14:44:00,                     ,"['پرسپولیسی ها', 'حرکت زیبا']",
                     پاداش ویژه استقلالی‌ها برای برد در دربی                 ,https://roozno.com/fa/news/412241/پاداش-ویژه-استقلالی‌ها-برای-برد-در-دربی,[], ,2020-02-06 14:43:00,                     ,"['پاداش استقلالی ها', 'دربی']",
                     ترکیب استقلال برای دیدار با پرسپولیس                 ,https://roozno.com/fa/news/412238/ترکیب-استقلال-برای-دیدار-با-پرسپولیس,[], ,2020-02-06 14:38:00,                     ,"['ترکیب استقلال', 'دربی']",
                     ترکیب پرسپولیس برای دیدار با استقلال                 ,https://roozno.com/fa/news/412237/ترکیب-پرسپولیس-برای-دیدار-با-استقلال,[], ,2020-02-06 14:35:00,                     ,"['ترکیب پرسپولیس', 'دربی']",
                     رختکن پرسپولیس پیش از دربی/عکس                 ,https://roozno.com/fa/news/412236/رختکن-پرسپولیس-پیش-از-دربیعکس,[], ,2020-02-06 14:28:00,                     ,"['رختکن پرسپولیس', 'دربی']",
                     تست ترامادول بازیکن پرسپولیس مثبت شد! + سند                 ,https://roozno.com/fa/news/412239/تست-ترامادول-بازیکن-پرسپولیس-مثبت-شد-سند,[], ,2020-02-06 14:39:00,                     ,"['بازیکن پرسپولیس', 'تست ترامادول']",
                     اسکوچیچ نیامده جریمه به بار می‌آورد/ سود ۱۴۰ هزار دلاری در جیب صنعت نفت                 ,https://roozno.com/fa/news/412240/اسکوچیچ-نیامده-جریمه-به-بار-می‌آورد-سود-۱۴۰-هزار-دلاری-در-جیب-صنعت-نفت,[], ,2020-02-06 14:41:00,                     ,"['اسکوچیچ', 'جریمه']",
                     تیراندازی به اتوبوس کارگران پتروشیمی تندگویان + جزییات                 ,https://roozno.com/fa/news/412232/تیراندازی-به-اتوبوس-کارگران-پتروشیمی-تندگویان-جزییات,[], ,2020-02-06 13:54:00,                     ,"['تیراندازی', 'اتوبوس کارگران']",
                     6 روز زندانی شدن در اسارتگاه 2 برادر مخوف / هنوز وحشت زده ام                 ,https://roozno.com/fa/news/412231/6-روز-زندانی-شدن-در-اسارتگاه-2-برادر-مخوف-هنوز-وحشت-زده-ام,[], ,2020-02-06 13:52:00,                     ,"['زندانی شدن', 'وحشت زده']",
                     مرگ دردناک سرباز وظیفه شناس پلیس در لارستان                 ,https://roozno.com/fa/news/412230/مرگ-دردناک-سرباز-وظیفه-شناس-پلیس-در-لارستان,[], ,2020-02-06 13:51:00,                     ,"['مرگ دردناک', 'سرباز وظیفه شتاس']",
                     پست اینستاگرامی علی کریمی برای دربی                 ,https://roozno.com/fa/news/412234/پست-اینستاگرامی-علی-کریمی-برای-دربی,[], ,2020-02-06 13:59:00,                     ,"['علی کریمی', 'دربی']",
                     همتی: بانک مرکزی مصمم به جلوگیری از پولشویی و سفته بازی است / مگر می‌شود یک کودک ۲ یا ۴ ساله در سال بیش از ۲۰۰۰ میلیارد ریال تراکنش داشته باشد و رئیس شعبه از آن بی خبر باشد؟                 ,https://roozno.com/fa/news/412235/همتی-بانک-مرکزی-مصمم-به-جلوگیری-از-پولشویی-و-سفته-بازی-است-مگر-می‌شود-یک-کودک-۲-یا-۴-ساله-در-سال-بیش-از-۲۰۰۰-میلیارد-ریال-تراکنش-داشته-باشد-و-رئیس-شعبه-از-آن-بی-خبر-باشد,[],صبح امروز همتی رئیس کل بانک مرکزی جمهوری اسلامی ایران در مراسم تقدیر از روسای شعب نظام بانکی با اشاره به اینکه در حال حاضر بیش از 75 درصد ریسک بانکها ناشی از ریسک اعتباری است تاکید کرد: شناسایی عوامل موثر بر ریسک اعتباری بانک ها مهم است و روسای شعب نقش مهمی در کنترل و کاهش آن دارند.,2020-02-06 14:27:00,                     ,"['همتی', 'بانک مرکزی']",
                     سوختن مرد تهرانی در قفسه پرنده هایش                 ,https://roozno.com/fa/news/412233/سوختن-مرد-تهرانی-در-قفسه-پرنده-هایش,[], ,2020-02-06 13:57:00,                     ,"['سوختن', 'مرد تهرانی']",
                     هدیه گرانقیمت نامزد کریستیانو رونالدو برای جشن تولد ستاره پرتغالی + عکس                 ,https://roozno.com/fa/news/412223/هدیه-گرانقیمت-نامزد-کریستیانو-رونالدو-برای-جشن-تولد-ستاره-پرتغالی-عکس,[], ,2020-02-06 13:29:00,                     ,"['رونالدو', 'کادو تولد']",
                     این خوراکی گران قیمت راز پلیدی داشت / پلیس کرمانشاه فاش کرد                 ,https://roozno.com/fa/news/412229/این-خوراکی-گران-قیمت-راز-پلیدی-داشت-پلیس-کرمانشاه-فاش-کرد,[], ,2020-02-06 13:49:00,                     ,"['راز پلید', 'خوراکی گران قیمت']",
                     رئیس قوه قضائیه: هر کس ‌انتخابات را زیر سؤال ببرد، در جریان جبهه دشمن قرار می‌گیرد‌                 ,https://roozno.com/fa/news/412228/رئیس-قوه-قضائیه-هر-کس-‌انتخابات-را-زیر-سؤال-ببرد-در-جریان-جبهه-دشمن-قرار-می‌گیرد‌,[],رئیس قوه قضائیه گفت: ‌هر کس با هر انگیزه‌ای جریان انتخابات را زیر سوال ببرد در زمین و جبهه ‌دشمن قرار می‌گیرد.,2020-02-06 13:37:00,                     ,"['رئیس قوه قضاییه', 'انتخابات']",
                     پائولو صنعت نفت آبادان را به دستیاری مورینیو ترجیح داد                 ,https://roozno.com/fa/news/412226/پائولو-صنعت-نفت-آبادان-را-به-دستیاری-مورینیو-ترجیح-داد,[], ,2020-02-06 13:35:00,                     ,"['پائولو', 'دستیاری']",
                     دربی پرسپولیس - استقلال/ سرپرست فدراسیون فوتبال تماشاگر شهرآورد پایتخت                 ,https://roozno.com/fa/news/412227/دربی-پرسپولیس-استقلال-سرپرست-فدراسیون-فوتبال-تماشاگر-شهرآورد-پایتخت,[], ,2020-02-06 13:36:00,                     ,"['پرسپولیس و استقلال', 'سرپرست فدارسیون']",
                     سهیل مهدی: دخالتی در بلیت فروشی نداشتیم                 ,https://roozno.com/fa/news/412225/سهیل-مهدی-دخالتی-در-بلیت-فروشی-نداشتیم,[], ,2020-02-06 13:33:00,                     ,"['بلیت فروشی', 'رخالت']",
                     دربی پرسپولیس - استقلال/ شارژ مالی کادر فنی سرخپوشان                 ,https://roozno.com/fa/news/412224/دربی-پرسپولیس-استقلال-شارژ-مالی-کادر-فنی-سرخپوشان,[], ,2020-02-06 13:31:00,                     ,"['سرخپوشان', 'شارژمالی']",
                     قیمت روز خودرو در ۱۷ بهمن                 ,https://roozno.com/fa/news/412221/قیمت-روز-خودرو-در-۱۷-بهمن,[], ,2020-02-06 13:24:00,                     ,"['17 بهمن', 'قیمت خودرو']",
                     حضور دیاباته در اردوی استقلال                 ,https://roozno.com/fa/news/412220/حضور-دیاباته-در-اردوی-استقلال,[], ,2020-02-06 13:21:00,                     ,"['دیاباته', 'اردو استقلال']",
